Rank,Club,Country,Level,Elo,From,To
75,Valladolid,ESP,2,1646.4432373,2022-05-30,2022-07-01
76,Brugge,BEL,1,1645.07861328,2022-05-30,2022-07-21
77,Granada,ESP,1,1644.09765625,2022-05-30,2022-07-01
78,Braga,POR,1,1641.81152344,2022-05-30,2022-07-21
79,Celtic,SCO,1,1640.75756836,2022-05-30,2022-07-21
80,Dinamo Zagreb,CRO,1,1638.22167969,2022-05-26,2022-07-15
81,Alkmaar,NED,1,1637.5168457,2022-05-30,2022-07-21
82,Fulham,ENG,2,1636.00439453,2022-05-30,2022-07-01
83,Verona,ITA,1,1635.18835449,2022-05-30,2022-07-20
84,Olympiakos,GRE,1,1634.89331055,2022-05-30,2022-07-20
85,Dynamo Kyiv,UKR,1,1633.69458008,2022-05-29,2022-07-20
86,Udinese,ITA,1,1632.2512207,2022-05-27,2022-07-20
87,Elche,ESP,1,1631.01855469,2022-05-29,2022-07-20
88,Nantes,FRA,1,1630.71911621,2022-05-30,2022-06-02
89,Bournemouth,ENG,2,1630.36547852,2022-05-30,2022-06-02
90,Almeria,ESP,2,1630.25085449,2022-05-30,2022-06-02
91,Slavia Praha,CZE,1,1629.7598877,2022-05-29,2022-06-02
92,Torino,ITA,1,1624.25280762,2022-05-30,2022-06-02
93,Eibar,ESP,2,1621.9720459,2022-05-30,2022-06-02
94,Stuttgart,GER,1,1620.82385254,2022-05-23,2022-06-05
95,Rayo Vallecano,ESP,1,1616.94458008,2022-05-29,2022-06-05
96,Augsburg,GER,1,1616.25463867,2022-05-29,2022-06-05
97,Mallorca,ESP,1,1615.09399414,2022-05-29,2022-07-16
98,Young Boys,SUI,1,1613.92773438,2022-05-29,2022-07-16
99,Bochum,GER,1,1613.30163574,2022-05-29,2022-07-27
100,Forest,ENG,2,1612.11743164,2022-05-30,2022-07-01
None,FC Kobenhavn,DEN,1,1604.0657959,2022-05-23,2022-07-17
None,Reims,FRA,1,1601.07263184,2022-05-22,2022-08-02
None,Bologna,ITA,1,1599.7166748,2022-05-26,2022-08-14
None,Hertha,GER,1,1598.67822266,2022-05-24,2022-08-06
None,Werder,GER,2,1596.97290039,2022-05-19,2022-07-01
None,Bodoe Glimt,NOR,1,1596.38818359,2022-05-30,2022-06-18
None,Sheffield United,ENG,2,1594.54345703,2022-05-29,2022-08-01
None,Girona,ESP,2,1593.03234863,2022-05-30,2022-06-02
None,Midtjylland,DEN,1,1590.43530273,2022-05-23,2022-07-15
None,Alaves,ESP,1,1589.52246094,2022-05-29,2022-07-01
None,Twente,NED,1,1589.01318359,2022-05-26,2022-07-21
None,Oviedo,ESP,2,1583.83239746,2022-05-30,2022-08-15
None,Watford,ENG,1,1583.42712402,2022-05-29,2022-07-01
None,Sampdoria,ITA,1,1580.58288574,2022-05-26,2022-08-13
None,Partizan,SRB,1,1579.25439453,2022-05-23,2022-07-09
None,Schalke,GER,2,1578.79846191,2022-05-19,2022-07-01
None,Viktoria Plzen,CZE,1,1578.74206543,2022-05-16,2022-07-20
None,Las Palmas,ESP,2,1578.05847168,2022-05-30,2022-06-01
None,Bielefeld,GER,1,1576.47424316,2022-05-19,2022-07-01
None,Norwich,ENG,1,1575.6262207,2022-05-29,2022-07-01
None,Hamburg,GER,2,1573.54956055,2022-05-24,2022-07-17
None,Molde,NOR,1,1570.83081055,2022-05-30,2022-06-19
None,Fenerbahce,TUR,1,1569.4284668,2022-05-22,2022-07-20
None,Trabzonspor,TUR,1,1566.47570801,2022-05-23,2022-07-20
None,Brest,FRA,1,1566.11669922,2022-05-22,2022-08-02
None,Huddersfield,ENG,2,1563.63513184,2022-05-30,2022-07-29
None,Gent,BEL,1,1563.0369873,2022-05-22,2022-07-21
None,Anderlecht,BEL,1,1561.52099609,2022-05-23,2022-07-21
None,Montpellier,FRA,1,1560.50402832,2022-05-22,2022-08-02
None,Toulouse,FRA,2,1560.31542969,2022-05-15,2022-07-01
None,Sturm Graz,AUT,1,1556.12414551,2022-05-22,2022-07-21
None,Sochi,RUS,1,1555.12573242,2022-05-14,2022-07-17
None,Leganes,ESP,2,1551.29174805,2022-05-30,2022-08-13
None,Tenerife,ESP,2,1549.87927246,2022-05-30,2022-06-01
None,Basel,SUI,1,1549.57324219,2022-05-23,2022-07-16
None,Empoli,ITA,1,1547.05651855,2022-05-26,2022-08-14
None,Troyes,FRA,1,1547.05651855,2022-05-22,2022-08-02
None,Huesca,ESP,2,1546.8939209,2022-05-30,2022-08-12
None,Rapid Wien,AUT,1,1546.25427246,2022-05-30,2022-07-21
None,Darmstadt,GER,2,1546.13928223,2022-05-19,2022-07-16
None,Angers,FRA,1,1544.96276855,2022-05-22,2022-08-02
None,Zuerich,SUI,1,1544.94580078,2022-05-23,2022-07-16
None,St Gillis,BEL,1,1544.72790527,2022-05-23,2022-07-21
None,Sparta Praha,CZE,1,1539.0423584,2022-05-16,2022-07-20
None,Genoa,ITA,1,1536.02307129,2022-05-26,2022-07-01
None,Vitesse,NED,1,1535.56530762,2022-05-30,2022-07-21
None,Millwall,ENG,2,1532.79626465,2022-05-29,2022-07-30
None,Luton,ENG,2,1530.52050781,2022-05-29,2022-07-30
None,Utrecht,NED,1,1530.44458008,2022-05-26,2022-07-21
None,Hajduk,CRO,1,1528.88781738,2022-05-22,2022-07-17
None,Lecce,ITA,2,1526.75219727,2022-05-26,2022-07-01
None,Dynamo Moskva,RUS,1,1525.78771973,2022-05-15,2022-07-17
None,West Brom,ENG,2,1525.75915527,2022-05-29,2022-07-30
None,Cartagena,ESP,2,1525.15405273,2022-05-30,2022-08-15
None,Spezia,ITA,1,1524.81665039,2022-05-26,2022-08-14
None,Lorient,FRA,1,1524.38916016,2022-05-22,2022-08-02
None,Cagliari,ITA,1,1524.32446289,2022-05-26,2022-07-01
None,FC Krasnodar,RUS,1,1522.92553711,2022-05-16,2022-07-17
None,Monza,ITA,2,1522.7701416,2022-05-30,2022-07-01
None,Osijek,CRO,1,1521.04272461,2022-05-22,2022-07-16
None,Auxerre,FRA,2,1520.83337402,2022-05-21,2022-07-01
None,Middlesbrough,ENG,2,1519.70812988,2022-05-29,2022-07-30
None,Guimaraes,POR,1,1519.60559082,2022-05-16,2022-07-21
None,Malmoe,SWE,1,1518.38183594,2022-05-30,2022-06-27
None,Razgrad,BUL,1,1518.07507324,2022-05-23,2022-07-05
None,PAOK,GRE,1,1517.02075195,2022-05-18,2022-07-20
None,Zorya,UKR,1,1516.68481445,2021-12-13,2022-07-20
None,M Tel Aviv,ISR,1,1516.55456543,2022-05-22,2022-07-20
None,Spartak Moskva,RUS,1,1516.3984375,2022-05-16,2022-07-16
None,Genk,BEL,1,1516.02734375,2022-05-22,2022-07-21
None,Austria Wien,AUT,1,1515.58898926,2022-05-22,2022-07-21
None,Metz,FRA,1,1514.32458496,2022-05-22,2022-07-01
None,Saint-Etienne,FRA,1,1512.64074707,2022-05-22,2022-07-01
None,Paderborn,GER,2,1512.3392334,2022-05-19,2022-07-17
None,Clermont,FRA,1,1512.28051758,2022-05-22,2022-08-02
None,Zaragoza,ESP,2,1511.88464355,2022-05-29,2022-08-13
None,Duesseldorf,GER,2,1511.74182129,2022-05-19,2022-07-16
None,CSKA Moskva,RUS,1,1511.51965332,2022-05-16,2022-07-16
None,Fuerth,GER,1,1509.97387695,2022-05-19,2022-07-01
None,Blackburn,ENG,2,1508.93457031,2022-05-29,2022-07-30
None,Preston,ENG,2,1508.6048584,2022-05-29,2022-07-30
None,Maccabi Haifa,ISR,1,1507.97961426,2022-05-22,2022-07-20
None,Ponferradina,ESP,2,1507.62658691,2022-05-29,2022-08-15
None,Lok Moskva,RUS,1,1507.17053223,2022-05-15,2022-07-17
None,Bordeaux,FRA,1,1505.71716309,2022-05-22,2022-07-01
None,Bueyueksehir,TUR,1,1505.51928711,2022-05-23,2022-07-20
None,Swansea,ENG,2,1503.87036133,2022-05-29,2022-07-30
None,St Pauli,GER,2,1503.75561523,2022-05-19,2022-07-16
None,Gil Vicente,POR,1,1503.58435059,2022-05-16,2022-07-21
None,CFR Cluj,ROM,1,1502.25634766,2022-05-23,2022-07-05
None,Wolfsberg,AUT,1,1500.54638672,2022-05-22,2022-07-21
None,Burgos,ESP,2,1500.37109375,2022-05-30,2022-08-14
None,Sheriff Tiraspol,MOL,0,1498.51904297,2022-02-25,2022-07-06
None,Antwerp,BEL,1,1498.17297363,2022-05-23,2022-07-21
None,Ajaccio,FRA,2,1497.99633789,2022-05-15,2022-07-01
None,Mirandes,ESP,2,1497.33984375,2022-05-29,2022-08-13
None,Stoke,ENG,2,1496.20861816,2022-05-29,2022-07-30
None,Lech,POL,1,1495.37329102,2022-05-22,2022-07-05
None,StGallen,SUI,1,1494.81958008,2022-05-23,2022-07-17
None,Benevento,ITA,2,1493.8729248,2022-05-26,2022-08-14
None,LASK,AUT,1,1493.80432129,2022-05-24,2022-07-21
None,Santa Clara,POR,1,1492.25671387,2022-05-15,2022-07-21
None,Famalicao,POR,1,1490.96716309,2022-05-16,2022-07-21
None,Besiktas,TUR,1,1490.41760254,2022-05-22,2022-07-20
None,Salernitana,ITA,1,1489.5456543,2022-05-26,2022-08-14
None,Slovacko,CZE,1,1489.14733887,2022-05-16,2022-07-20
None,Gijon,ESP,2,1488.91650391,2022-05-30,2022-08-13
None,Coventry,ENG,2,1488.12121582,2022-05-29,2022-07-31
None,QPR,ENG,2,1486.66320801,2022-05-29,2022-07-30
None,AIK,SWE,1,1486.12963867,2022-05-30,2022-06-26
None,Paris FC,FRA,2,1485.68518066,2022-05-18,2022-08-01
None,Galatasaray,TUR,1,1484.94140625,2022-05-21,2022-07-20
None,Brescia,ITA,2,1484.43371582,2022-05-26,2022-08-14
None,Viking,NOR,1,1482.61853027,2022-05-29,2022-06-19
None,Rijeka,CRO,1,1482.44567871,2022-05-22,2022-07-16
None,Heidenheim,GER,2,1482.05163574,2022-05-19,2022-07-17
None,Sochaux,FRA,2,1481.83581543,2022-05-21,2022-08-01
None,Holstein,GER,2,1481.55444336,2022-05-19,2022-07-16
None,Ibiza Eivissa,ESP,2,1480.39453125,2022-05-30,2022-08-14
None,Steaua,ROM,1,1479.3762207,2022-05-23,2022-07-05
None,Panathinaikos,GRE,1,1479.24975586,2022-05-18,2022-07-20
None,Sparta Rotterdam,NED,1,1479.19567871,2022-05-26,2022-07-21
None,Rosenborg,NOR,1,1478.89331055,2022-05-30,2022-06-19
None,Cremonese,ITA,2,1478.55187988,2022-05-26,2022-07-01
None,Heerenveen,NED,1,1475.5057373,2022-05-26,2022-07-21
None,Karabakh Agdam,AZE,0,1475.27368164,2022-02-25,2022-07-05
None,Rakow,POL,1,1475.09936523,2022-05-22,2022-07-05
None,Brondby,DEN,1,1474.88623047,2022-05-23,2022-07-17
None,Lugo,ESP,2,1474.54260254,2022-05-29,2022-08-15
None,Venezia,ITA,1,1469.50964355,2022-05-26,2022-07-01
None,Konyaspor,TUR,1,1469.38574219,2022-05-22,2022-07-20
None,Ferencvaros,HUN,1,1468.76611328,2022-05-15,2022-07-06
None,Nuernberg,GER,2,1467.63671875,2022-05-19,2022-07-16
None,Hammarby,SWE,1,1467.59057617,2022-05-30,2022-06-26
None,Cardiff,ENG,2,1466.43798828,2022-05-29,2022-07-30
None,Apollon Lemesos,CYP,0,1465.17138672,2021-12-10,2022-07-19
None,Alanyaspor,TUR,1,1462.47119141,2022-05-23,2022-07-20
None,Rostov,RUS,1,1461.52929688,2022-05-15,2022-07-17
None,Boavista,POR,1,1461.37194824,2022-05-15,2022-07-21
None,Djurgarden,SWE,1,1459.31652832,2022-05-30,2022-06-26
None,Antalyaspor,TUR,1,1458.94824219,2022-05-21,2022-07-20
None,Charleroi,BEL,1,1458.12927246,2022-05-22,2022-07-21
None,Guingamp,FRA,2,1457.10473633,2022-05-15,2022-07-30
None,Groningen,NED,1,1456.06286621,2022-05-26,2022-07-21
None,Luzern,SUI,1,1455.8482666,2022-05-23,2022-07-19
None,Blackpool,ENG,2,1454.94433594,2022-05-29,2022-07-30
None,Amorebieta,ESP,2,1454.71948242,2022-05-29,2022-07-01
None,Malaga,ESP,2,1453.34790039,2022-05-29,2022-08-14
None,Lugano,SUI,1,1453.28540039,2022-05-23,2022-07-17
None,Aris,GRE,1,1452.85144043,2022-05-18,2022-07-20
None,Sivasspor,TUR,1,1452.76379395,2022-05-22,2022-07-20
None,Ascoli,ITA,2,1452.76208496,2022-05-26,2022-08-14
None,Lillestrom,NOR,1,1452.64904785,2022-05-30,2022-06-19
None,Terek Grozny,RUS,1,1452.61071777,2022-05-15,2022-07-16
None,Pacos Ferreira,POR,1,1452.28417969,2022-05-14,2022-07-21
None,Pisa,ITA,2,1450.76745605,2022-05-30,2022-08-13
None,Karlsruhe,GER,2,1450.75488281,2022-05-19,2022-07-17
None,Kasimpasa,TUR,1,1449.49804688,2022-05-22,2022-07-20
None,Maritimo,POR,1,1448.04541016,2022-05-15,2022-07-21
None,Pogon,POL,1,1447.97619629,2022-05-22,2022-07-05
None,Derby,ENG,2,1447.6072998,2022-05-29,2022-07-01
None,Sandhausen,GER,2,1447.57836914,2022-05-19,2022-07-16
None,St Truiden,BEL,1,1446.71630859,2022-04-11,2022-07-21
None,AEK,GRE,1,1446.34191895,2022-05-18,2022-07-20
None,Hannover,GER,2,1445.78649902,2022-05-19,2022-07-15
None,Parma,ITA,2,1445.75024414,2022-05-26,2022-08-12
None,Hull,ENG,2,1444.64453125,2022-05-29,2022-07-30
None,Bristol City,ENG,2,1442.63989258,2022-05-29,2022-07-30
None,Beer-Sheva,ISR,1,1440.89123535,2022-05-22,2022-07-20
None,Frosinone,ITA,2,1440.72692871,2022-05-26,2022-08-14
None,Heracles,NED,1,1440.24243164,2022-05-26,2022-07-01
None,Waalwijk,NED,1,1439.09765625,2022-05-26,2022-07-21
None,Craiova,ROM,1,1438.45532227,2022-05-28,2022-07-05
None,Dnipro,UKR,1,1436.71118164,2021-12-11,2022-07-20
None,Silkeborg,DEN,1,1435.07727051,2022-05-23,2022-07-17
None,Mechelen,BEL,1,1434.11560059,2022-05-22,2022-07-21
None,Portimonense,POR,1,1433.83093262,2022-05-15,2022-07-21
None,Kryliya Sovetov,RUS,1,1432.9798584,2022-05-15,2022-07-16
None,Wattens,AUT,1,1432.40185547,2022-05-30,2022-07-21
None,Sittard,NED,1,1431.56335449,2022-05-26,2022-07-21
None,Elfsborg,SWE,1,1430.87390137,2022-05-30,2022-06-27
None,Cittadella,ITA,2,1429.94006348,2022-05-26,2022-08-13
None,Sociedad B,ESP,2,1429.93273926,2022-05-29,2022-07-01
None,Perugia,ITA,2,1429.69787598,2022-05-26,2022-08-13
None,Moreirense,POR,1,1428.88061523,2022-05-15,2022-07-01
None,Alcorcon,ESP,2,1426.92321777,2022-05-30,2022-07-01
None,Fatih Karaguemruek,TUR,1,1425.73815918,2022-05-23,2022-07-20
None,Rostock,GER,2,1425.37084961,2022-05-19,2022-07-17
None,Willem II,NED,1,1421.55908203,2022-05-26,2022-07-01
None,Aalborg,DEN,1,1421.24462891,2022-05-30,2022-07-17
None,Fuenlabrada,ESP,2,1419.13952637,2022-05-29,2022-07-01
None,Reading,ENG,2,1418.72131348,2022-05-29,2022-07-30
None,Klagenfurt,AUT,1,1418.61608887,2022-05-22,2022-07-21
None,Sverdlovsk,RUS,1,1418.4831543,2022-05-16,2022-07-16
None,Cercle Brugge,BEL,1,1418.0065918,2022-04-10,2022-07-21
None,Zwolle,NED,1,1415.45983887,2022-05-26,2022-07-01
None,Banik Ostrava,CZE,1,1414.93432617,2022-05-16,2022-07-20
None,FC Khimki,RUS,1,1414.7701416,2022-05-15,2022-07-15
None,Randers,DEN,1,1413.82458496,2022-05-23,2022-07-15
None,Anorthosis,CYP,0,1413.5501709,2021-12-10,2022-07-01
None,AEL Limassol,CYP,0,1413.00427246,2021-12-10,2022-07-01
None,Caen,FRA,2,1412.86437988,2022-05-15,2022-07-30
None,Regensburg,GER,2,1412.74694824,2022-05-19,2022-07-16
None,Estoril,POR,1,1412.16040039,2022-05-15,2022-07-21
None,FK Astana,KAZ,0,1411.63061523,2021-12-10,2022-07-06
None,Piast Gliwice,POL,1,1411.42724609,2022-05-22,2022-07-05
None,Nimes,FRA,2,1410.97424316,2022-05-15,2022-07-30
None,Dijon,FRA,2,1408.94152832,2022-05-15,2022-07-30
None,Grasshoppers,SUI,1,1408.3326416,2022-05-23,2022-07-19
None,Haecken,SWE,1,1407.44506836,2022-05-29,2022-06-26
None,Sion,SUI,1,1405.69177246,2022-05-23,2022-07-17
None,Spal,ITA,2,1405.65686035,2022-05-26,2022-08-14
None,Birmingham,ENG,2,1405.58288574,2022-05-29,2022-07-30
None,Omonia,CYP,0,1405.29699707,2021-12-10,2022-07-19
None,Hartberg,AUT,1,1405.11743164,2022-05-21,2022-07-21
None,Amiens,FRA,2,1404.92980957,2022-05-15,2022-07-30
None,Nijmegen,NED,1,1404.30639648,2022-05-26,2022-07-21
None,Servette,SUI,1,1404.17907715,2022-05-23,2022-07-17
None,Cambuur,NED,1,1403.18859863,2022-05-26,2022-07-21
None,Hatayspor,TUR,1,1402.25756836,2022-05-23,2022-07-20
None,Ternana,ITA,2,1401.6776123,2022-05-26,2022-08-14
None,Legia,POL,1,1401.05883789,2022-05-22,2022-07-05
None,Belenenses,POR,1,1398.60717773,2022-05-15,2022-07-01
None,Vorskla,UKR,1,1398.59594727,2021-12-12,2022-07-20
None,Adana Demirspor,TUR,1,1397.37902832,2022-05-23,2022-07-20
None,Go Ahead Eagles,NED,1,1394.94799805,2022-05-26,2022-07-21
None,Ufa,RUS,1,1394.20947266,2022-05-15,2022-07-01
None,Rubin Kazan,RUS,1,1393.39294434,2022-05-16,2022-07-01
None,CSKA Sofia,BUL,1,1393.34558105,2022-05-23,2022-07-05
None,Valerenga,NOR,1,1392.31591797,2022-05-30,2022-06-19
None,Grenoble,FRA,2,1391.80114746,2022-05-15,2022-07-30
None,Lechia,POL,1,1391.18652344,2022-05-22,2022-07-05
None,Peterboro,ENG,2,1391.02941895,2022-05-29,2022-07-01
None,Vizela,POR,1,1390.97314453,2022-05-15,2022-07-21
None,Norrkoeping,SWE,1,1389.6015625,2022-05-30,2022-06-26
None,Bastia,FRA,2,1388.58081055,2022-05-15,2022-07-30
None,Ried,AUT,1,1388.3302002,2022-05-21,2022-07-21
None,Zilina,SLK,0,1387.91088867,2021-12-10,2022-07-01
None,Le Havre,FRA,2,1387.64697266,2022-05-15,2022-07-30
None,Nordsjaelland,DEN,1,1387.37841797,2022-05-22,2022-07-18
None,Stromsgodset,NOR,1,1386.8338623,2022-05-29,2022-06-18
None,Slovan Bratislava,SLK,0,1386.37182617,2021-12-10,2022-07-06
None,Gaziantep FK,TUR,1,1385.22509766,2022-05-21,2022-07-20
None,Leuven,BEL,1,1385.00085449,2022-04-11,2022-07-21
None,Trnava,SLK,0,1383.13745117,2021-12-10,2022-07-06
None,Tondela,POR,1,1382.90710449,2022-05-15,2022-07-01
None,Dresden,GER,2,1382.24682617,2022-05-19,2022-07-01
None,Desna,UKR,1,1381.08703613,2021-12-11,2022-07-01
None,Olexandriya,UKR,1,1380.80029297,2021-12-12,2022-07-20
None,Kolos,UKR,1,1380.14746094,2021-12-13,2022-07-20
None,Sarpsborg,NOR,1,1380.12841797,2022-05-30,2022-06-18
None,Lok Zagreb,CRO,1,1379.61621094,2022-05-21,2022-07-15
None,Viborg,DEN,1,1379.57543945,2022-05-30,2022-07-17
None,Arouca,POR,1,1378.03063965,2022-05-15,2022-07-21
None,Odense,DEN,1,1377.90454102,2022-05-22,2022-07-18
None,Mlada Boleslav,CZE,1,1377.55236816,2022-05-14,2022-07-20
None,Como,ITA,2,1376.57739258,2022-05-26,2022-08-13
None,Mjaellby,SWE,1,1375.20690918,2022-05-29,2022-06-26
None,HNK Gorica,CRO,1,1374.21289062,2022-05-22,2022-07-16
None,Dunajska,SLK,0,1374.18444824,2021-12-10,2022-07-06
None,Barnsley,ENG,2,1374.05102539,2022-05-29,2022-07-01
None,Nizhny Novgorod,RUS,1,1373.66223145,2022-05-14,2022-07-17
None,Pau,FRA,2,1373.43041992,2022-05-15,2022-07-30
None,Standard,BEL,1,1373.42480469,2022-04-11,2022-07-21
None,Altach,AUT,1,1372.15795898,2022-05-21,2022-07-21
None,Netanya,ISR,1,1372.11669922,2022-05-22,2022-07-20
None,Goeteborg,SWE,1,1370.08544922,2022-05-29,2022-06-27
None,Valenciennes,FRA,2,1369.24853516,2022-05-15,2022-07-30
None,Sigma Olomouc,CZE,1,1369.10522461,2022-05-14,2022-07-20
None,Kalmar,SWE,1,1368.96142578,2022-05-29,2022-06-27
None,Kayseri,TUR,1,1368.12145996,2022-05-22,2022-07-20
None,Oostende,BEL,1,1367.28735352,2022-04-10,2022-07-21
None,Sepsi,ROM,1,1364.24389648,2022-05-17,2022-07-05
None,Reggina,ITA,2,1363.08984375,2022-05-26,2022-08-14
None,Hearts,SCO,1,1362.94604492,2022-05-19,2022-07-21
None,Kortrijk,BEL,1,1361.77526855,2022-04-11,2022-07-21
None,Rodez,FRA,2,1360.89111328,2022-05-15,2022-07-30
None,Aarhus,DEN,1,1357.6105957,2022-05-22,2022-07-17
None,Giresunspor,TUR,1,1357.18225098,2022-05-23,2022-07-20
None,Crotone,ITA,2,1356.01647949,2022-05-26,2022-07-01
None,Vicenza,ITA,2,1355.10620117,2022-05-26,2022-07-01
None,Jablonec,CZE,1,1354.83789062,2022-05-15,2022-07-20
None,Admira,AUT,1,1353.68981934,2022-05-21,2022-07-01
None,Slovan Liberec,CZE,1,1353.44958496,2022-05-01,2022-07-20
None,Aue,GER,2,1353.3190918,2022-05-19,2022-07-01
None,Niort,FRA,2,1350.26123047,2022-05-15,2022-07-30
None,Soligorsk,BLR,1,1346.56335449,2022-03-20,2022-07-06
None,Ingolstadt,GER,2,1345.78613281,2022-05-19,2022-07-01
None,Levski,BUL,1,1345.68786621,2022-05-23,2022-07-05
None,Cukaricki,SRB,1,1345.2244873,2022-05-20,2022-07-09
None,Cracovia,POL,1,1341.29064941,2022-05-22,2022-07-05
None,Livingston,SCO,1,1341.09765625,2022-05-19,2022-07-21
None,Haugesund,NOR,1,1340.88598633,2022-05-30,2022-06-19
None,Zulte Waregem,BEL,1,1338.70007324,2022-04-11,2022-07-21
None,BATE,BLR,1,1338.18676758,2022-03-21,2022-07-06
None,Kiryat Shmona,ISR,1,1338.17944336,2022-05-15,2022-07-20
None,Maribor,SVN,1,1337.66955566,2022-05-23,2022-07-06
None,Rizespor,TUR,1,1337.47338867,2022-05-21,2022-07-01
None,Tula,RUS,1,1335.57861328,2022-05-15,2022-07-01
None,Warta,POL,1,1334.92175293,2022-05-22,2022-07-05
