Rank,Club,Country,Level,Elo,From,To
70,Mainz,GER,1,1653.11694336,2019-05-27,2019-07-25
71,PAOK,GRE,1,1652.03649902,2019-05-27,2019-07-23
72,Schalke,GER,1,1649.55163574,2019-05-19,2019-07-25
73,Lok Moskva,RUS,1,1644.1784668,2019-05-27,2019-07-15
74,Marseille,FRA,1,1640.50695801,2019-05-25,2019-07-15
75,Hertha,GER,1,1640.08728027,2019-05-25,2019-06-08
76,Osasuna,ESP,2,1636.38696289,2019-06-01,2019-06-08
77,Genk,BEL,1,1636.21105957,2019-06-01,2019-07-25
78,Norwich,ENG,2,1634.66345215,2019-06-01,2019-07-01
79,Brugge,BEL,1,1632.54858398,2019-06-01,2019-07-25
80,Girona,ESP,1,1624.33215332,2019-05-25,2019-07-01
81,Besiktas,TUR,1,1623.8815918,2019-05-25,2019-07-18
82,Sheffield United,ENG,2,1623.55578613,2019-05-19,2019-07-01
83,Basel,SUI,1,1622.52172852,2019-05-26,2019-07-11
84,Montpellier,FRA,1,1621.92700195,2019-05-26,2019-07-25
85,Brighton,ENG,1,1620.25097656,2019-05-26,2019-07-25
86,Rennes,FRA,1,1619.73339844,2019-05-26,2019-07-25
87,Aston Villa,ENG,2,1616.19567871,2019-05-28,2019-07-01
88,Valladolid,ESP,1,1616.00244141,2019-05-28,2019-07-25
89,Huesca,ESP,1,1615.22717285,2019-05-28,2019-07-01
90,Sampdoria,ITA,1,1612.12451172,2019-05-28,2019-07-11
91,APOEL,CYP,0,1611.73596191,2019-05-28,2019-07-11
92,Cardiff,ENG,1,1611.09838867,2019-05-28,2019-07-01
93,West Brom,ENG,2,1610.85205078,2019-05-28,2019-07-25
94,Duesseldorf,GER,1,1607.18811035,2019-05-25,2019-07-25
95,Galatasaray,TUR,1,1606.90075684,2019-05-25,2019-07-25
96,Braga,POR,1,1604.95776367,2019-05-20,2019-07-25
97,Nice,FRA,1,1600.27380371,2019-05-27,2019-07-19
98,Freiburg,GER,1,1599.06689453,2019-05-27,2019-06-20
99,Spartak Moskva,RUS,1,1596.3996582,2019-05-27,2019-06-08
100,Viktoria Plzen,CZE,1,1595.56298828,2019-05-27,2019-06-08
None,Bueyueksehir,TUR,1,1594.96484375,2019-05-25,2019-07-25
None,Fiorentina,ITA,1,1594.74365234,2019-05-27,2019-07-25
None,Augsburg,GER,1,1594.45263672,2019-05-19,2019-07-25
None,Granada,ESP,2,1594.25598145,2019-05-27,2019-06-04
None,Fulham,ENG,1,1589.33032227,2019-05-13,2019-07-01
None,Reims,FRA,1,1587.52868652,2019-05-25,2019-07-25
None,Rayo Vallecano,ESP,1,1583.40991211,2019-05-19,2019-07-01
None,Cadiz,ESP,2,1583.27856445,2019-05-27,2019-06-04
None,LASK,AUT,1,1582.37426758,2019-05-27,2019-07-25
None,Stuttgart,GER,1,1581.37207031,2019-05-28,2019-07-01
None,FC Kobenhavn,DEN,1,1576.36535645,2019-05-26,2019-07-11
None,Feyenoord,NED,1,1575.87561035,2019-05-16,2019-07-23
None,Bologna,ITA,1,1575.45751953,2019-05-26,2019-07-25
None,Nimes,FRA,1,1574.3972168,2019-05-25,2019-07-25
None,Tula,RUS,1,1574.09179688,2019-05-27,2019-07-12
None,Malaga,ESP,2,1573.61437988,2019-05-25,2019-06-04
None,Nantes,FRA,1,1573.41503906,2019-05-25,2019-07-25
None,Celtic,SCO,1,1571.70874023,2019-05-20,2019-07-09
None,Koeln,GER,2,1571.43518066,2019-05-20,2019-07-01
None,Derby,ENG,2,1571.16101074,2019-05-28,2019-07-25
None,Sassuolo,ITA,1,1568.71862793,2019-05-27,2019-07-25
None,Monaco,FRA,1,1567.02954102,2019-05-25,2019-07-25
None,Albacete,ESP,2,1565.47851562,2019-05-26,2019-06-04
None,Malmoe,SWE,1,1564.73950195,2019-05-29,2019-06-02
None,Depor,ESP,2,1564.68762207,2019-05-28,2019-06-04
None,Udinese,ITA,1,1564.39294434,2019-05-27,2019-07-25
None,Rostov,RUS,1,1564.29577637,2019-05-27,2019-07-13
None,Apollon Lemesos,CYP,0,1563.13635254,2018-12-14,2019-07-11
None,Angers,FRA,1,1559.2479248,2019-05-25,2019-07-25
None,Standard,BEL,1,1558.00402832,2019-05-20,2019-07-25
None,Terek Grozny,RUS,1,1557.3996582,2019-05-27,2019-07-14
None,Bordeaux,FRA,1,1557.10327148,2019-05-25,2019-07-25
None,Strasbourg,FRA,1,1555.96533203,2019-05-25,2019-07-25
None,Spal,ITA,1,1553.34191895,2019-05-27,2019-07-25
None,Empoli,ITA,1,1550.68273926,2019-05-27,2019-07-01
None,Steaua,ROM,1,1550.46069336,2019-05-20,2019-07-09
None,Leeds,ENG,2,1549.63464355,2019-05-16,2019-07-25
None,AEK,GRE,1,1548.86291504,2019-05-06,2019-07-23
None,Swansea,ENG,2,1547.65283203,2019-05-10,2019-07-25
None,Middlesbrough,ENG,2,1547.06652832,2019-05-10,2019-07-25
None,Brentford,ENG,2,1544.66308594,2019-05-10,2019-07-25
None,Trabzonspor,TUR,1,1543.5904541,2019-05-25,2019-07-25
None,Mallorca,ESP,2,1542.32458496,2019-05-28,2019-06-04
None,CFR Cluj,ROM,1,1541.92810059,2019-05-20,2019-07-09
None,M Tel Aviv,ISR,1,1541.46520996,2019-05-26,2019-07-11
None,Union Berlin,GER,2,1540.54699707,2019-05-28,2019-07-01
None,Genoa,ITA,1,1540.24609375,2019-05-27,2019-07-25
None,Alkmaar,NED,1,1539.1607666,2019-05-16,2019-07-23
None,Rijeka,CRO,1,1536.15612793,2019-05-26,2019-07-09
None,Cagliari,ITA,1,1535.07202148,2019-05-27,2019-07-25
None,Bristol City,ENG,2,1534.3951416,2019-05-10,2019-07-25
None,Razgrad,BUL,1,1533.91479492,2019-05-25,2019-07-09
None,Sparta Praha,CZE,1,1533.62243652,2019-05-27,2019-07-14
None,AIK,SWE,1,1533.44091797,2019-05-25,2019-06-02
None,Gijon,ESP,2,1532.69177246,2019-05-26,2019-06-08
None,Midtjylland,DEN,1,1530.91699219,2019-05-26,2019-07-11
None,Gent,BEL,1,1530.64685059,2019-05-20,2019-07-25
None,Hannover,GER,1,1530.55358887,2019-05-19,2019-07-01
None,Sheffield Weds,ENG,2,1528.32373047,2019-05-10,2019-07-25
None,Dynamo Moskva,RUS,1,1527.94873047,2019-05-27,2019-07-12
None,Fenerbahce,TUR,1,1527.26208496,2019-05-27,2019-07-25
None,Rapid Wien,AUT,1,1527.05395508,2019-05-31,2019-06-02
None,Huddersfield,ENG,1,1525.95703125,2019-05-13,2019-07-01
None,Metz,FRA,2,1525.79321289,2019-05-18,2019-07-01
None,Oviedo,ESP,2,1525.61987305,2019-05-27,2019-06-04
None,Larnaca,CYP,0,1525.37744141,2018-12-14,2019-07-11
None,Stoke,ENG,2,1525.06945801,2019-05-10,2019-07-25
None,Rubin Kazan,RUS,1,1524.72766113,2019-05-27,2019-07-15
None,Zaragoza,ESP,2,1521.04199219,2019-05-25,2019-06-04
None,Utrecht,NED,1,1520.44055176,2019-05-29,2019-07-23
None,Preston,ENG,2,1518.05895996,2019-05-10,2019-07-25
None,Orenburg,RUS,1,1517.97705078,2019-05-27,2019-07-13
None,Hamburg,GER,2,1516.28356934,2019-05-20,2019-07-25
None,Rangers,SCO,1,1514.66418457,2019-05-20,2019-07-09
None,Almeria,ESP,2,1513.22949219,2019-05-27,2019-06-02
None,FK Astana,KAZ,0,1511.60131836,2018-12-14,2019-07-09
None,Brest,FRA,2,1511.03405762,2019-05-18,2019-07-01
None,Hajduk,CRO,1,1510.97973633,2019-05-27,2019-07-09
None,BATE,BLR,1,1509.01220703,2019-05-25,2019-06-01
None,Hull,ENG,2,1508.30297852,2019-05-10,2019-07-25
None,Guimaraes,POR,1,1508.28649902,2019-05-20,2019-07-25
None,Vitesse,NED,1,1507.86975098,2019-05-29,2019-07-23
None,Troyes,FRA,2,1506.67004395,2019-05-25,2019-07-25
None,Sverdlovsk,RUS,1,1506.31188965,2019-05-27,2019-07-13
None,Amiens,FRA,1,1506.30895996,2019-05-25,2019-07-25
None,Forest,ENG,2,1505.28723145,2019-05-10,2019-07-25
None,Elche,ESP,2,1503.38208008,2019-05-27,2019-06-04
None,Kortrijk,BEL,1,1503.17297363,2019-05-23,2019-07-25
None,Charleroi,BEL,1,1502.63903809,2019-05-27,2019-07-25
None,Paderborn,GER,2,1502.07092285,2019-05-20,2019-07-01
None,Parma,ITA,1,1501.35791016,2019-05-27,2019-07-25
None,Birmingham,ENG,2,1500.16101074,2019-05-10,2019-07-25
None,Anderlecht,BEL,1,1497.44665527,2019-05-20,2019-07-25
None,Jablonec,CZE,1,1497.04760742,2019-05-27,2019-07-12
None,Nuernberg,GER,1,1495.40478516,2019-05-19,2019-07-01
None,Toulouse,FRA,1,1495.26940918,2019-05-25,2019-07-25
None,Las Palmas,ESP,2,1493.74926758,2019-05-26,2019-06-02
None,Bielefeld,GER,2,1492.89660645,2019-05-20,2019-07-25
None,Sturm Graz,AUT,1,1491.0546875,2019-05-31,2019-06-02
None,Heidenheim,GER,2,1490.92700195,2019-05-20,2019-07-25
None,Molde,NOR,1,1490.87573242,2019-05-27,2019-06-16
None,Dijon,FRA,1,1488.90710449,2019-05-31,2019-06-02
None,Rio Ave,POR,1,1488.67663574,2019-05-19,2019-07-25
None,Norrkoeping,SWE,1,1488.65136719,2019-05-28,2019-06-02
None,Ufa,RUS,1,1487.91918945,2019-05-27,2019-07-13
None,CSKA Sofia,BUL,1,1487.90234375,2019-05-25,2019-07-09
None,Brondby,DEN,1,1487.45581055,2019-06-01,2019-07-11
None,Holstein,GER,2,1486.84594727,2019-05-20,2019-07-25
None,Tenerife,ESP,2,1486.02111816,2019-05-27,2019-06-04
None,Austria Wien,AUT,1,1483.24572754,2019-05-27,2019-07-25
None,Numancia,ESP,2,1483.08825684,2019-05-20,2019-06-04
None,Zorya,UKR,1,1481.35595703,2019-05-31,2019-07-25
None,Antwerp,BEL,1,1480.62817383,2019-05-27,2019-07-25
None,Palermo,ITA,2,1478.49975586,2019-05-12,2019-07-01
None,Osijek,CRO,1,1477.42004395,2019-05-27,2019-07-09
None,St Truiden,BEL,1,1476.96557617,2019-05-19,2019-07-25
None,Haecken,SWE,1,1476.70068359,2019-05-26,2019-06-02
None,Boavista,POR,1,1476.28186035,2019-05-19,2019-07-25
None,Lugo,ESP,2,1475.97143555,2019-05-27,2019-06-04
None,Brescia,ITA,2,1475.64990234,2019-05-12,2019-07-01
None,Extremadura,ESP,2,1474.99084473,2019-05-27,2019-06-04
None,Guingamp,FRA,1,1471.60693359,2019-05-25,2019-07-01
None,Wolfsberg,AUT,1,1470.48742676,2019-05-27,2019-07-25
None,Blackburn,ENG,2,1470.2019043,2019-05-10,2019-07-25
None,Darmstadt,GER,2,1468.6619873,2019-05-20,2019-07-25
None,Karabakh Agdam,AZE,0,1467.65319824,2018-12-14,2019-07-10
None,Alcorcon,ESP,2,1466.79528809,2019-05-27,2019-06-01
None,Cittadella,ITA,2,1464.75439453,2019-05-31,2019-06-02
None,Lens,FRA,2,1462.38220215,2019-05-31,2019-06-02
None,Regensburg,GER,2,1462.29907227,2019-05-20,2019-07-25
None,Olexandriya,UKR,1,1461.98754883,2019-05-31,2019-07-25
None,Caen,FRA,1,1459.86938477,2019-05-25,2019-07-01
None,Paris FC,FRA,2,1459.21582031,2019-05-22,2019-07-25
None,Lecce,ITA,2,1458.36621094,2019-05-12,2019-07-01
None,Anorthosis,CYP,0,1458.23754883,2018-12-14,2019-07-01
None,Frosinone,ITA,1,1456.62866211,2019-05-26,2019-07-01
None,Ingolstadt,GER,2,1455.73535156,2019-05-20,2019-07-01
None,Lugano,SUI,1,1454.7364502,2019-05-26,2019-07-11
None,Wigan,ENG,2,1454.40234375,2019-05-10,2019-07-25
None,Millwall,ENG,2,1454.27062988,2019-05-10,2019-07-25
None,Djurgarden,SWE,1,1453.64782715,2019-05-27,2019-06-01
None,Reading,ENG,2,1453.42248535,2019-05-10,2019-07-25
None,Atromitos,GRE,1,1452.39099121,2019-05-06,2019-07-23
None,Partizan,SRB,1,1452.25537109,2019-05-20,2019-07-09
None,Bochum,GER,2,1451.41479492,2019-05-20,2019-07-25
None,Rosenborg,NOR,1,1450.69848633,2019-05-27,2019-06-16
None,Mlada Boleslav,CZE,1,1450.26721191,2019-05-25,2019-06-01
None,Reus Deportiu,ESP,2,1449.93664551,2019-05-10,2019-07-01
None,Lorient,FRA,2,1448.7824707,2019-05-18,2019-07-25
None,Den Haag,NED,1,1448.33898926,2019-05-16,2019-07-23
None,Konyaspor,TUR,1,1446.52648926,2019-05-26,2019-07-25
None,Viitorul,ROM,1,1445.86096191,2019-05-19,2019-07-09
None,Chievo,ITA,1,1445.73742676,2019-05-26,2019-07-01
None,Luzern,SUI,1,1445.26330566,2019-05-26,2019-07-11
None,Moreirense,POR,1,1445.22338867,2019-05-20,2019-07-25
None,Ferencvaros,HUN,1,1444.93676758,2019-05-20,2019-07-10
None,QPR,ENG,2,1443.41125488,2019-05-10,2019-07-25
None,Altach,AUT,1,1441.03479004,2019-05-26,2019-07-25
None,Benevento,ITA,2,1440.69238281,2019-05-26,2019-07-25
None,Hammarby,SWE,1,1440.31115723,2019-05-28,2019-06-02
None,Zulte Waregem,BEL,1,1439.40209961,2019-05-18,2019-07-25
None,Majadahonda,ESP,2,1439.171875,2019-05-26,2019-06-04
None,Sandhausen,GER,2,1439.02807617,2019-05-20,2019-07-25
None,Le Havre,FRA,2,1438.6730957,2019-05-18,2019-07-25
None,Mattersburg,AUT,1,1438.39941406,2019-05-29,2019-07-25
None,Nis,SRB,1,1438.16833496,2019-05-20,2019-07-09
None,Crotone,ITA,2,1438.00305176,2019-05-12,2019-07-25
None,Trencin,SLK,0,1437.50158691,2018-12-14,2019-07-01
None,Dresden,GER,2,1437.4498291,2019-05-20,2019-07-25
None,Craiova,ROM,1,1436.14111328,2019-05-19,2019-07-09
None,Zuerich,SUI,1,1435.98205566,2019-05-26,2019-07-11
None,Trnava,SLK,0,1435.54138184,2018-12-14,2019-07-10
None,Groningen,NED,1,1433.58276367,2019-05-22,2019-07-23
None,Soligorsk,BLR,1,1432.63415527,2019-06-01,2019-06-16
None,Belenenses,POR,1,1432.57116699,2019-05-17,2019-07-25
None,Maribor,SVN,1,1432.47473145,2019-05-26,2019-07-10
None,St Pauli,GER,2,1432.30395508,2019-05-20,2019-07-25
None,Dinamo Minsk,BLR,1,1431.60510254,2019-05-25,2019-06-01
None,Maritimo,POR,1,1431.32617188,2019-05-19,2019-07-25
None,Santa Clara,POR,1,1428.34301758,2019-05-19,2019-07-25
None,Alanyaspor,TUR,1,1427.97998047,2019-05-25,2019-07-25
None,Sion,SUI,1,1427.87548828,2019-05-26,2019-07-11
None,Panathinaikos,GRE,1,1427.5378418,2019-05-06,2019-07-23
None,Ilichivets,UKR,1,1424.9642334,2019-05-31,2019-07-25
None,Kryliya Sovetov,RUS,1,1424.51257324,2019-05-27,2019-07-14
None,Thun,SUI,1,1423.83752441,2019-05-26,2019-07-11
None,Malatyaspor,TUR,1,1421.75524902,2019-05-27,2019-07-25
None,Aue,GER,2,1420.30114746,2019-05-20,2019-07-25
None,Slovan Liberec,CZE,1,1419.3807373,2019-05-27,2019-07-13
None,Nordsjaelland,DEN,1,1418.40148926,2019-05-26,2019-07-11
None,Piast Gliwice,POL,1,1418.0760498,2019-05-20,2019-07-10
None,Rizespor,TUR,1,1416.2980957,2019-05-25,2019-07-25
None,Sivasspor,TUR,1,1416.11132812,2019-05-25,2019-07-25
None,Odense,DEN,1,1415.08032227,2019-05-26,2019-07-11
None,Clermont,FRA,2,1414.77160645,2019-05-18,2019-07-25
None,Portimonense,POR,1,1413.47277832,2019-05-18,2019-07-25
None,Aves,POR,1,1413.39538574,2019-05-19,2019-07-25
None,Fuerth,GER,2,1413.13818359,2019-05-20,2019-07-25
None,Ostersund,SWE,1,1411.29370117,2019-05-27,2019-06-01
None,Beer-Sheva,ISR,1,1410.2791748,2019-05-26,2019-07-11
None,Verona,ITA,2,1410.05578613,2019-05-31,2019-06-02
None,Legia,POL,1,1409.8137207,2019-05-20,2019-07-10
None,StGallen,SUI,1,1409.08312988,2019-05-26,2019-07-11
None,Aarhus,DEN,1,1408.53137207,2019-05-27,2019-07-11
None,Cordoba,ESP,2,1407.83666992,2019-06-01,2019-06-08
None,Goeztepe,TUR,1,1405.73498535,2019-05-27,2019-07-25
None,Tarragona,ESP,2,1405.02697754,2019-05-27,2019-06-01
None,Tondela,POR,1,1404.57092285,2019-05-20,2019-07-25
None,Admira,AUT,1,1404.51672363,2019-05-26,2019-07-25
None,Aberdeen,SCO,1,1403.98266602,2019-05-20,2019-07-09
None,Chaves,POR,1,1403.67749023,2019-05-20,2019-07-01
None,Cremonese,ITA,2,1403.6685791,2019-05-12,2019-07-25
None,Antalyaspor,TUR,1,1401.49487305,2019-05-27,2019-07-25
None,Videoton,HUN,1,1401.2265625,2019-05-20,2019-07-10
None,Yenisey,RUS,1,1400.46899414,2019-05-27,2019-07-01
None,Sigma Olomouc,CZE,1,1399.9498291,2019-05-13,2019-07-13
None,Spezia,ITA,2,1399.08361816,2019-05-18,2019-07-25
None,Mouscron,BEL,1,1399.07397461,2019-05-18,2019-07-25
None,Lok Zagreb,CRO,1,1397.15148926,2019-05-27,2019-07-09
None,Dinamo Bucuresti,ROM,1,1397.03271484,2019-06-01,2019-07-09
None,Heerenveen,NED,1,1396.99658203,2019-05-16,2019-07-23
None,Chateauroux,FRA,2,1396.04626465,2019-05-18,2019-07-25
None,Setubal,POR,1,1394.23400879,2019-05-19,2019-07-25
None,Willem II,NED,1,1394.1496582,2019-05-16,2019-07-23
None,Levski,BUL,1,1393.30932617,2019-05-29,2019-07-09
None,Kilmarnock,SCO,1,1393.06872559,2019-05-20,2019-07-09
None,Dinamo Brest,BLR,1,1392.76208496,2019-05-26,2019-06-02
None,Vorskla,UKR,1,1392.57409668,2019-05-30,2019-07-25
None,HNK Gorica,CRO,1,1392.52185059,2019-05-27,2019-07-09
None,Kayseri,TUR,1,1391.66125488,2019-05-27,2019-07-25
None,Pescara,ITA,2,1390.32019043,2019-05-27,2019-07-25
None,Kasimpasa,TUR,1,1389.64086914,2019-05-25,2019-07-25
None,Bursaspor,TUR,1,1389.13720703,2019-05-27,2019-07-01
None,Rotherham,ENG,2,1388.98327637,2019-05-10,2019-07-01
None,Heracles,NED,1,1388.04821777,2019-05-22,2019-07-23
None,Esbjerg,DEN,1,1387.30859375,2019-05-26,2019-07-11
None,Brann,NOR,1,1387.05249023,2019-05-27,2019-06-15
None,Ipswich,ENG,2,1386.73583984,2019-05-10,2019-07-01
None,Domzale,SVN,1,1386.69311523,2019-05-26,2019-07-10
None,Haugesund,NOR,1,1386.67614746,2019-05-27,2019-06-15
None,Perugia,ITA,2,1385.64013672,2019-05-19,2019-07-25
None,Goeteborg,SWE,1,1384.85717773,2019-05-26,2019-06-01
None,Olimpija Ljubljana,SVN,1,1383.38842773,2019-05-26,2019-07-10
None,Hartberg,AUT,1,1383.38781738,2019-05-26,2019-07-25
None,Randers,DEN,1,1381.84020996,2019-06-01,2019-07-11
None,Odd Grenland,NOR,1,1381.57983398,2019-05-20,2019-06-16
None,Orleans,FRA,2,1380.99060059,2019-05-18,2019-07-25
None,Aris,GRE,1,1380.7689209,2019-05-06,2019-07-23
None,Magdeburg,GER,2,1380.65808105,2019-05-20,2019-07-01
None,St Gillis,BEL,1,1380.53662109,2019-05-18,2019-07-01
None,Dunajska,SLK,0,1380.25280762,2018-12-14,2019-07-10
None,Botosani,ROM,1,1379.22265625,2019-06-01,2019-07-09
None,Foggia,ITA,2,1378.67944336,2019-05-12,2019-07-01
None,Cosenza,ITA,2,1378.5579834,2019-05-06,2019-07-25
None,Ankaraguecue,TUR,1,1377.98205566,2019-05-27,2019-07-25
None,Duisburg,GER,2,1377.09289551,2019-05-20,2019-07-01
None,Astra,ROM,1,1377.02416992,2019-05-21,2019-07-09
None,Erzurum BB,TUR,1,1376.87207031,2019-05-27,2019-07-01
None,Anzhi,RUS,1,1374.70727539,2019-05-27,2019-07-01
None,St Poelten,AUT,1,1374.68359375,2019-05-27,2019-07-25
None,Zwolle,NED,1,1373.53637695,2019-05-16,2019-07-23
None,Wacker Innsbruck,AUT,1,1373.45837402,2019-05-26,2019-07-01
None,Oostende,BEL,1,1370.96411133,2019-05-19,2019-07-25
None,Xamax,SUI,1,1369.01269531,2019-05-26,2019-07-11
None,Slovacko,CZE,1,1368.97167969,2019-05-26,2019-07-14
None,FC Lviv,UKR,1,1368.57507324,2019-05-31,2019-07-25
None,Karpaty,UKR,1,1366.52502441,2019-05-30,2019-07-25
None,Jagiellonia,POL,1,1364.79406738,2019-05-20,2019-07-10
None,Cukaricki,SRB,1,1364.74938965,2019-05-20,2019-07-09
None,Nancy,FRA,2,1364.5144043,2019-05-18,2019-07-25
None,Venezia,ITA,2,1364.17932129,2019-05-12,2019-06-05
None,Grenoble,FRA,2,1364.03759766,2019-05-18,2019-07-25
None,Banik Ostrava,CZE,1,1361.79418945,2019-05-27,2019-06-01
None,Gaz Metan,ROM,1,1361.28564453,2019-05-27,2019-06-02
None,Valenciennes,FRA,2,1361.09655762,2019-05-18,2019-07-25
None,Slovan Bratislava,SLK,0,1360.99829102,2018-12-14,2019-07-10
None,Beveren,BEL,1,1360.76000977,2019-05-18,2019-07-25
None,Auxerre,FRA,2,1360.39379883,2019-05-18,2019-07-25
None,Ajaccio,FRA,2,1360.18225098,2019-05-18,2019-07-25
None,Kristiansund,NOR,1,1359.91650391,2019-05-20,2019-06-16
None,Lechia,POL,1,1359.61767578,2019-05-20,2019-07-10
None,Sarpsborg,NOR,1,1359.11096191,2019-05-20,2019-06-16
None,Hibernian,SCO,1,1358.90808105,2019-05-20,2019-07-09
None,Asteras Tripolis,GRE,1,1358.64074707,2019-05-06,2019-07-23
None,Venlo,NED,1,1358.35717773,2019-05-16,2019-07-23
None,Akhisar,TUR,1,1355.99023438,2019-05-26,2019-07-01
None,Aalborg,DEN,1,1355.88842773,2019-05-13,2019-07-11
None,Lubin,POL,1,1354.79736328,2019-05-20,2019-07-10
None,Elfsborg,SWE,1,1353.54821777,2019-05-27,2019-06-02
None,Olimpik Donetsk,UKR,1,1353.35168457,2019-05-30,2019-07-25
None,Niort,FRA,2,1353.12927246,2019-05-18,2019-07-25
None,Beroe Stara Zagora,BUL,1,1351.32849121,2019-05-25,2019-07-09
None,Livorno,ITA,2,1350.87524414,2019-05-12,2019-07-25
None,Desna,UKR,1,1349.1105957,2019-05-30,2019-07-25
None,Panionios,GRE,1,1348.38635254,2019-05-06,2019-07-23
None,Gabala,AZE,0,1347.34912109,2018-12-14,2019-07-10
None,Xanthi,GRE,1,1346.48864746,2019-05-06,2019-07-23
None,Valerenga,NOR,1,1346.11169434,2019-05-26,2019-06-16
None,Bohemians Praha,CZE,1,1345.63830566,2019-05-26,2019-07-12
